,Date,Round,Home.Team,Home.Goals,Home.Behinds,P_Home,Away.Team,Away.Goals,Away.Behinds,P_Away,Venue,Margin,Season,Round.Type,home_win,Year,Team_Home,CP_Home,D_Home,CL_Home,I50_Home,MI5_Home,Team_Away,CP_Away,D_Away,CL_Away,I50_Away,MI5_Away,P_diff_5,CP_diff_5,D_diff_5,CL_diff_5,I50_diff_5,MI5_diff_5
55,2012-05-12,R7,Adelaide,19,8,122,Geelong,10,12,72,Football Park,50,2012,Regular,1.0,2012,Adelaide,148.0,365.0,43.0,47.0,14.0,Geelong,126.0,359.0,33.0,54.0,10.0,,,,,,
56,2012-05-12,R7,GWS,13,16,94,Gold Coast,9,13,67,Manuka Oval,27,2012,Regular,1.0,2012,GWS,133.0,375.0,37.0,58.0,9.0,Gold Coast,130.0,358.0,30.0,42.0,12.0,,,,,,
57,2012-05-12,R7,Richmond,13,13,91,Sydney,8,14,62,M.C.G.,29,2012,Regular,1.0,2012,Richmond,141.0,417.0,34.0,49.0,13.0,Sydney,114.0,287.0,28.0,48.0,10.0,,,,,,
58,2012-05-12,R7,Brisbane Lions,8,10,58,Collingwood,17,14,116,Gabba,-58,2012,Regular,0.0,2012,Brisbane Lions,111.0,310.0,30.0,38.0,11.0,Collingwood,148.0,443.0,41.0,66.0,13.0,,,,,,
59,2012-05-12,R7,Essendon,16,17,113,West Coast,7,10,52,Docklands,61,2012,Regular,1.0,2012,Essendon,147.0,390.0,42.0,63.0,17.0,West Coast,120.0,314.0,24.0,41.0,6.0,,,,,,
60,2012-05-13,R7,North Melbourne,12,11,83,Footscray,15,11,101,Docklands,-18,2012,Regular,0.0,2012,North Melbourne,123.0,333.0,32.0,48.0,10.0,Footscray,177.0,398.0,42.0,59.0,10.0,,,,,,
61,2012-05-13,R7,Fremantle,12,15,87,Port Adelaide,7,5,47,Subiaco,40,2012,Regular,1.0,2012,Fremantle,158.0,407.0,38.0,55.0,12.0,Port Adelaide,136.0,363.0,39.0,36.0,3.0,,,,,,
62,2012-05-14,R7,St Kilda,19,8,122,Carlton,14,14,98,Docklands,24,2012,Regular,1.0,2012,St Kilda,136.0,347.0,42.0,47.0,9.0,Carlton,141.0,322.0,37.0,51.0,16.0,,,,,,
63,2012-05-18,R8,Collingwood,14,12,96,Geelong,11,18,84,M.C.G.,12,2012,Regular,1.0,2012,Collingwood,158.0,398.0,36.0,51.0,9.0,Geelong,148.0,369.0,37.0,61.0,13.0,,,,,,
64,2012-05-19,R8,Port Adelaide,14,11,95,North Melbourne,14,9,93,Football Park,2,2012,Regular,1.0,2012,Port Adelaide,136.0,328.0,34.0,42.0,11.0,North Melbourne,135.0,315.0,40.0,60.0,9.0,,,,,,
65,2012-05-19,R8,Hawthorn,17,17,119,Fremantle,9,9,63,York Park,56,2012,Regular,1.0,2012,Hawthorn,142.0,399.0,48.0,67.0,10.0,Fremantle,122.0,338.0,24.0,37.0,8.0,,,,,,
66,2012-05-19,R8,Sydney,21,12,138,Melbourne,5,7,37,S.C.G.,101,2012,Regular,1.0,2012,Sydney,147.0,395.0,39.0,71.0,17.0,Melbourne,124.0,353.0,40.0,35.0,6.0,,,,,,
67,2012-05-19,R8,Footscray,9,18,72,Gold Coast,4,10,34,Marrara Oval,38,2012,Regular,1.0,2012,Footscray,159.0,354.0,37.0,56.0,5.0,Gold Coast,152.0,389.0,32.0,34.0,7.0,,,,,,
68,2012-05-19,R8,Essendon,19,14,128,Richmond,15,19,109,M.C.G.,19,2012,Regular,1.0,2012,Essendon,124.0,363.0,36.0,48.0,16.0,Richmond,129.0,370.0,30.0,66.0,11.0,,,,,,
69,2012-05-20,R8,Brisbane Lions,19,18,132,GWS,5,10,40,Gabba,92,2012,Regular,1.0,2012,Brisbane Lions,141.0,432.0,33.0,65.0,23.0,GWS,117.0,291.0,33.0,32.0,7.0,,,,,,
70,2012-05-20,R8,Carlton,8,7,55,Adelaide,19,10,124,Docklands,-69,2012,Regular,0.0,2012,Carlton,123.0,285.0,42.0,41.0,13.0,Adelaide,151.0,345.0,48.0,50.0,13.0,,,,,,
71,2012-05-20,R8,West Coast,18,13,121,St Kilda,13,13,91,Subiaco,30,2012,Regular,1.0,2012,West Coast,132.0,363.0,37.0,48.0,19.0,St Kilda,132.0,325.0,38.0,51.0,11.0,,,,,,
