"Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type"
"2013-09-21","PF","Fremantle",14,15,99,"Sydney",11,8,74,"Subiaco",25,2013,"Finals"
"2013-09-28","GF","Hawthorn",11,11,77,"Fremantle",8,14,62,"M.C.G.",15,2013,"Finals"
"2014-03-14","R1","Collingwood",5,16,46,"Fremantle",17,14,116,"Docklands",-70,2014,"Regular"
"2014-03-15","R1","GWS",15,9,99,"Sydney",9,13,67,"Sydney Showground",32,2014,"Regular"
"2014-03-15","R1","Gold Coast",12,15,87,"Richmond",10,9,69,"Carrara",18,2014,"Regular"
"2014-03-16","R1","Carlton",12,15,87,"Port Adelaide",18,12,120,"Docklands",-33,2014,"Regular"
"2014-03-20","R1","Geelong",18,11,119,"Adelaide",12,9,81,"Kardinia Park",38,2014,"Regular"
"2014-03-21","R1","North Melbourne",9,6,60,"Essendon",15,9,99,"Docklands",-39,2014,"Regular"
"2014-03-22","R1","Hawthorn",21,13,139,"Brisbane Lions",13,13,91,"York Park",48,2014,"Regular"
"2014-03-22","R1","St Kilda",10,8,68,"Melbourne",6,15,51,"Docklands",17,2014,"Regular"
"2014-03-23","R1","West Coast",21,8,134,"Footscray",11,3,69,"Subiaco",65,2014,"Regular"
"2014-03-27","R2","Richmond",14,14,98,"Carlton",12,14,86,"M.C.G.",12,2014,"Regular"
"2014-03-28","R2","Essendon",12,14,86,"Hawthorn",13,12,90,"Docklands",-4,2014,"Regular"
"2014-03-29","R2","St Kilda",15,5,95,"GWS",13,10,88,"Docklands",7,2014,"Regular"
"2014-03-29","R2","Port Adelaide",19,13,127,"Adelaide",11,7,73,"Adelaide Oval",54,2014,"Regular"
"2014-03-29","R2","Sydney",10,9,69,"Collingwood",12,17,89,"Stadium Australia",-20,2014,"Regular"
"2014-03-29","R2","Fremantle",12,15,87,"Gold Coast",5,9,39,"Subiaco",48,2014,"Regular"
"2014-03-30","R2","Brisbane Lions",10,8,68,"Geelong",13,15,93,"Gabba",-25,2014,"Regular"
"2014-03-30","R2","Melbourne",4,6,30,"West Coast",18,15,123,"M.C.G.",-93,2014,"Regular"
"2014-03-30","R2","Footscray",8,6,54,"North Melbourne",12,11,83,"Docklands",-29,2014,"Regular"
"2014-04-04","R3","Hawthorn",21,11,137,"Fremantle",11,13,79,"M.C.G.",58,2014,"Regular"
"2014-04-05","R3","Adelaide",9,17,71,"Sydney",21,8,134,"Adelaide Oval",-63,2014,"Regular"
"2014-04-05","R3","Footscray",15,10,100,"Richmond",15,8,98,"Docklands",2,2014,"Regular"
"2014-04-05","R3","Gold Coast",17,12,114,"Brisbane Lions",9,7,61,"Carrara",53,2014,"Regular"
"2014-04-05","R3","Collingwood",11,10,76,"Geelong",12,15,87,"M.C.G.",-11,2014,"Regular"
"2014-04-05","R3","West Coast",12,11,83,"St Kilda",8,10,58,"Subiaco",25,2014,"Regular"
"2014-04-06","R3","GWS",10,19,79,"Melbourne",7,5,47,"Sydney Showground",32,2014,"Regular"
"2014-04-06","R3","North Melbourne",14,13,97,"Port Adelaide",13,12,90,"Docklands",7,2014,"Regular"
"2014-04-06","R3","Essendon",21,12,138,"Carlton",8,9,57,"M.C.G.",81,2014,"Regular"
"2014-04-11","R4","Richmond",10,12,72,"Collingwood",16,14,110,"M.C.G.",-38,2014,"Regular"
"2014-04-12","R4","Carlton",7,16,58,"Melbourne",12,9,81,"M.C.G.",-23,2014,"Regular"
"2014-04-12","R4","Port Adelaide",24,15,159,"Brisbane Lions",7,4,46,"Adelaide Oval",113,2014,"Regular"
"2014-04-12","R4","GWS",12,11,83,"Footscray",17,8,110,"Manuka Oval",-27,2014,"Regular"
"2014-04-12","R4","Geelong",16,11,107,"West Coast",4,8,32,"Kardinia Park",75,2014,"Regular"
"2014-04-12","R4","Gold Coast",7,7,49,"Hawthorn",23,10,148,"Carrara",-99,2014,"Regular"
"2014-04-13","R4","Sydney",6,12,48,"North Melbourne",13,13,91,"S.C.G.",-43,2014,"Regular"
"2014-04-13","R4","St Kilda",7,8,50,"Adelaide",20,16,136,"Docklands",-86,2014,"Regular"
"2014-04-13","R4","Fremantle",18,5,113,"Essendon",9,6,60,"Subiaco",53,2014,"Regular"
"2014-04-17","R5","Brisbane Lions",9,9,63,"Richmond",15,16,106,"Gabba",-43,2014,"Regular"
"2014-04-19","R5","Collingwood",13,15,93,"North Melbourne",8,10,58,"M.C.G.",35,2014,"Regular"
"2014-04-19","R5","Sydney",13,14,92,"Fremantle",11,9,75,"S.C.G.",17,2014,"Regular"
"2014-04-19","R5","Essendon",9,11,65,"St Kilda",11,15,81,"Docklands",-16,2014,"Regular"
"2014-04-19","R5","West Coast",7,14,56,"Port Adelaide",10,10,70,"Subiaco",-14,2014,"Regular"
"2014-04-20","R5","Adelaide",21,11,137,"GWS",10,12,72,"Adelaide Oval",65,2014,"Regular"
"2014-04-20","R5","Melbourne",11,12,78,"Gold Coast",11,20,86,"M.C.G.",-8,2014,"Regular"
"2014-04-20","R5","Footscray",13,13,91,"Carlton",18,11,119,"Docklands",-28,2014,"Regular"
"2014-04-21","R5","Geelong",15,16,106,"Hawthorn",12,15,87,"M.C.G.",19,2014,"Regular"
"2014-04-25","R6","Collingwood",12,11,83,"Essendon",8,12,60,"M.C.G.",23,2014,"Regular"
"2014-04-25","R6","St Kilda",11,13,79,"Brisbane Lions",12,10,82,"Wellington",-3,2014,"Regular"
"2014-04-25","R6","Fremantle",8,13,61,"North Melbourne",10,14,74,"Subiaco",-13,2014,"Regular"
"2014-04-26","R6","Gold Coast",20,14,134,"GWS",13,16,94,"Carrara",40,2014,"Regular"
"2014-04-26","R6","Carlton",14,8,92,"West Coast",12,17,89,"Docklands",3,2014,"Regular"
"2014-04-26","R6","Melbourne",5,8,38,"Sydney",9,15,69,"M.C.G.",-31,2014,"Regular"
"2014-04-27","R6","Footscray",12,11,83,"Adelaide",13,14,92,"Docklands",-9,2014,"Regular"
"2014-04-27","R6","Richmond",7,10,52,"Hawthorn",18,10,118,"M.C.G.",-66,2014,"Regular"
"2014-04-27","R6","Port Adelaide",16,11,107,"Geelong",9,13,67,"Adelaide Oval",40,2014,"Regular"
"2014-05-02","R7","Carlton",10,10,70,"Collingwood",14,20,104,"M.C.G.",-34,2014,"Regular"
"2014-05-03","R7","Hawthorn",27,13,175,"St Kilda",4,6,30,"M.C.G.",145,2014,"Regular"
"2014-05-03","R7","GWS",15,7,97,"Port Adelaide",20,12,132,"Manuka Oval",-35,2014,"Regular"
"2014-05-03","R7","Adelaide",9,13,67,"Melbourne",11,4,70,"Adelaide Oval",-3,2014,"Regular"
"2014-05-03","R7","Essendon",10,13,73,"Footscray",9,11,65,"Docklands",8,2014,"Regular"
"2014-05-03","R7","Brisbane Lions",6,8,44,"Sydney",18,15,123,"Gabba",-79,2014,"Regular"
"2014-05-04","R7","North Melbourne",11,11,77,"Gold Coast",18,12,120,"Docklands",-43,2014,"Regular"
"2014-05-04","R7","Geelong",11,15,81,"Richmond",12,4,76,"M.C.G.",5,2014,"Regular"
"2014-05-04","R7","West Coast",7,12,54,"Fremantle",11,7,73,"Subiaco",-19,2014,"Regular"
"2014-05-09","R8","Sydney",15,17,107,"Hawthorn",13,10,88,"Stadium Australia",19,2014,"Regular"
"2014-05-10","R8","Port Adelaide",13,16,94,"Fremantle",11,10,76,"Adelaide Oval",18,2014,"Regular"
"2014-05-10","R8","Brisbane Lions",8,9,57,"Essendon",9,11,65,"Gabba",-8,2014,"Regular"
"2014-05-10","R8","Melbourne",12,11,83,"Footscray",15,9,99,"M.C.G.",-16,2014,"Regular"
"2014-05-11","R8","West Coast",30,8,188,"GWS",12,5,77,"Subiaco",111,2014,"Regular"
"2014-05-12","R8","St Kilda",9,15,69,"Carlton",15,11,101,"Docklands",-32,2014,"Regular"
"2014-05-15","R9","Adelaide",10,16,76,"Collingwood",7,13,55,"Adelaide Oval",21,2014,"Regular"
"2014-05-16","R9","Essendon",9,10,64,"Sydney",18,6,114,"Docklands",-50,2014,"Regular"
"2014-05-17","R9","Richmond",9,20,74,"Melbourne",14,7,91,"M.C.G.",-17,2014,"Regular"
"2014-05-17","R9","North Melbourne",17,23,125,"Brisbane Lions",6,2,38,"Docklands",87,2014,"Regular"
"2014-05-17","R9","Fremantle",13,18,96,"Geelong",9,10,64,"Subiaco",32,2014,"Regular"
"2014-05-18","R9","St Kilda",13,9,87,"Gold Coast",19,11,125,"Docklands",-38,2014,"Regular"
"2014-05-23","R10","Geelong",16,15,111,"North Melbourne",13,13,91,"Kardinia Park",20,2014,"Regular"
"2014-05-24","R10","GWS",5,11,41,"Richmond",24,10,154,"Sydney Showground",-113,2014,"Regular"
"2014-05-24","R10","Collingwood",17,7,109,"West Coast",15,11,101,"M.C.G.",8,2014,"Regular"
"2014-05-24","R10","Port Adelaide",15,10,100,"Hawthorn",13,8,86,"Adelaide Oval",14,2014,"Regular"
"2014-05-25","R10","Gold Coast",18,11,119,"Footscray",10,14,74,"Carrara",45,2014,"Regular"
"2014-05-25","R10","Carlton",12,9,81,"Adelaide",10,16,76,"M.C.G.",5,2014,"Regular"
"2014-05-29","R11","Sydney",22,16,148,"Geelong",5,8,38,"S.C.G.",110,2014,"Regular"
"2014-05-30","R11","St Kilda",8,6,54,"Collingwood",21,14,140,"Docklands",-86,2014,"Regular"
"2014-05-31","R11","Melbourne",11,9,75,"Port Adelaide",14,11,95,"Traeger Park",-20,2014,"Regular"
"2014-05-31","R11","Brisbane Lions",14,14,98,"Carlton",13,13,91,"Gabba",7,2014,"Regular"
"2014-05-31","R11","Essendon",15,14,104,"Richmond",7,12,54,"M.C.G.",50,2014,"Regular"
"2014-06-01","R11","Adelaide",16,13,109,"Gold Coast",11,11,77,"Adelaide Oval",32,2014,"Regular"
"2014-06-01","R11","Footscray",6,15,51,"Fremantle",13,11,89,"Docklands",-38,2014,"Regular"
"2014-06-01","R11","Hawthorn",14,10,94,"GWS",13,9,87,"M.C.G.",7,2014,"Regular"
"2014-06-01","R11","West Coast",6,8,44,"North Melbourne",12,10,82,"Subiaco",-38,2014,"Regular"
"2014-06-06","R12","Geelong",16,11,107,"Carlton",15,12,102,"Docklands",5,2014,"Regular"
"2014-06-07","R12","Hawthorn",19,9,123,"West Coast",12,7,79,"York Park",44,2014,"Regular"
